11:08:01.375 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
11:08:01.446 [main] INFO  t.m.c.CardManagmentApplication - Starting CardManagmentApplication using Java 19.0.2 with PID 22168 (C:\Users\ahmed\OneDrive\Bureau\back end2105\versionfinalback\target\classes started by ahmed in C:\Users\ahmed\OneDrive\Bureau\back end2105\versionfinalback)
11:08:01.447 [main] INFO  t.m.c.CardManagmentApplication - No active profile set, falling back to 1 default profile: "default"
11:08:02.756 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
11:08:02.926 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 159 ms. Found 19 JPA repository interfaces.
11:08:03.811 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8084 (http)
11:08:03.822 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8084"]
11:08:03.825 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
11:08:03.826 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.10]
11:08:03.955 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
11:08:03.955 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2433 ms
11:08:04.131 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
11:08:04.232 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.5.Final
11:08:04.237 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
11:08:04.535 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
11:08:04.763 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
11:08:04.793 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
11:08:05.012 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@134d7ffa
11:08:05.014 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
11:08:05.053 [main] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
11:08:05.579 [main] INFO  o.h.id.enhanced.TableGenerator - HHH000398: Explicit segment value for id generator [hibernate_sequences.sequence_name] suggested; using default [default]
11:08:05.587 [main] INFO  o.h.id.enhanced.TableGenerator - HHH000398: Explicit segment value for id generator [hibernate_sequences.sequence_name] suggested; using default [default]
11:08:05.588 [main] INFO  o.h.id.enhanced.TableGenerator - HHH000398: Explicit segment value for id generator [hibernate_sequences.sequence_name] suggested; using default [default]
11:08:05.617 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
